Round,Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
Group stage,6,Wed,2023-12-13,21:00,Dortmundde,1.4,1–1,2.8,frParis S-G,"81,365",Signal Iduna Park,Glenn Nyberg,Match Report,
Group stage,6,Wed,2023-12-13,21:00,Atlético Madrides,1.3,2–0,0.9,itLazio,"63,574",Stadium Metropolitano,Serdar Gözübüyük,Match Report,
,,,,,,,,,,,,,,
Round of 16,,Tue,2024-02-13,21:00,RB Leipzigde,1.4,0–1,1.4,esReal Madrid,"45,028",Red Bull Arena,Irfan Peljto,Match Report,Leg 1 of 2
Round of 16,,Tue,2024-02-13,21:00,FC Copenhagendk,0.3,1–3,3.3,engManchester City,"35,853",Parken,José Sánchez,Match Report,Leg 1 of 2
Round of 16,,Wed,2024-02-14,21:00,Lazioit,1.6,1–0,1.1,deBayern Munich,"57,470",Stadio Olimpico,François Letexier,Match Report,Leg 1 of 2
Round of 16,,Wed,2024-02-14,21:00,Paris S-Gfr,1.2,2–0,0.7,esReal Sociedad,"46,435",Parc des Princes,Marco Guida,Match Report,Leg 1 of 2
Round of 16,,Tue,2024-02-20,21:00,PSV Eindhovennl,1.6,1–1,0.9,deDortmund,"34,950",Philips Stadion,Srđan Jovanović,Match Report,Leg 1 of 2
Round of 16,,Tue,2024-02-20,21:00,Interit,2.3,1–0,0.6,esAtlético Madrid,"73,709",Stadio Giuseppe Meazza,István Kovács,Match Report,Leg 1 of 2
Round of 16,,Wed,2024-02-21,20:00,Portopt,1.0,1–0,0.4,engArsenal,"49,111",Estádio Do Dragão,Serdar Gözübüyük,Match Report,Leg 1 of 2
Round of 16,,Wed,2024-02-21,21:00,Napoliit,0.9,1–1,0.7,esBarcelona,"49,529",Stadio Diego Armando Maradona,Felix Zwayer,Match Report,Leg 1 of 2
Round of 16,,Tue,2024-03-05,21:00,Bayern Munichde,3.5,3–0,0.4,itLazio,"75,000",Allianz Arena,Slavko Vinčič,Match Report,Leg 2 of 2; Bayern Munich won
Round of 16,,Tue,2024-03-05,21:00,Real Sociedades,0.9,1–2,1.4,frParis S-G,"39,336",Reale Arena,Michael Oliver,Match Report,Leg 2 of 2; Paris S-G won
Round of 16,,Wed,2024-03-06,20:00,Manchester Cityeng,0.8,3–1,1.2,dkFC Copenhagen,"51,531",Etihad Stadium,Espen Eskås,Match Report,Leg 2 of 2; Manchester City won
Round of 16,,Wed,2024-03-06,21:00,Real Madrides,0.8,1–1,1.0,deRB Leipzig,"76,126",Estadio Santiago Bernabéu,Davide Massa,Match Report,Leg 2 of 2; Real Madrid won
Round of 16,,Tue,2024-03-12,20:00,Arsenaleng,0.9,(4)1–0(2),0.5,ptPorto,"60,257",Emirates Stadium,Clément Turpin,Match Report,Leg 2 of 2; Arsenal won; Arsenal won on penalty kicks following extra time
Round of 16,,Tue,2024-03-12,21:00,Barcelonaes,2.7,3–1,1.3,itNapoli,"50,301",Estadi Olímpic Lluís Companys,Danny Makkelie,Match Report,Leg 2 of 2; Barcelona won
Round of 16,,Wed,2024-03-13,21:00,Dortmundde,1.5,2–0,1.5,nlPSV Eindhoven,"81,365",Signal Iduna Park,Daniele Orsato,Match Report,Leg 2 of 2; Dortmund won
