Home,Score,Away,Attendance,Venue,City,Country,Capacity,Result,Travel Distance,Home Points,Away Points
Galatasaray,3–3,Manchester Utd,51733,RAMS Park,Istanbul,Turkey,52280,Draw,2708.12,1,1
Bayern Munich,0–0,FC Copenhagen,75000,Allianz Arena,München,Germany,75024,Draw,842.77,1,1
Real Madrid,4–2,Napoli,73562,Estadio Santiago Bernabéu,Madrid,Spain,81044,Home Win,1516.98,3,0
Real Sociedad,0–0,RB Salzburg,34419,Reale Arena,San Sebastián,Spain,39500,Draw,1267.17,1,1
Lens,2–1,Sevilla,37456,Stade Bollaert-Delelis,Lens,France,38223,Home Win,1610.44,3,0
PSV Eindhoven,1–1,Arsenal,35000,Philips Stadion,Eindhoven,Netherlands,35000,Draw,389.52,1,1
Manchester Utd,0–1,Bayern Munich,73073,Old Trafford,Manchester,England,74140,Away Win,1138.26,0,3
FC Copenhagen,1–0,Galatasaray,34726,Parken,København,Denmark,38076,Home Win,2021.19,3,0
Inter,0–0,Real Sociedad,69010,Stadio Giuseppe Meazza,Milano,Italy,75923,Draw,920.64,1,1
RB Salzburg,1–3,Benfica,27134,Red Bull Arena (Salzburg),Wals-Siezenheim,Austria,31895,Away Win,2049.9,0,3
Union Berlin,2–3,Real Madrid,73420,Olympiastadion Berlin,Berlin,Germany,74475,Away Win,1870.47,0,3
Napoli,2–0,Braga,37841,Stadio Diego Armando Maradona,Napoli,Italy,60240,Home Win,1898.52,3,0
RB Leipzig,2–1,Young Boys,43331,Red Bull Arena (Leipzig),Leipzig,Germany,47069,Home Win,605.99,3,0
Red Star,2–3,Manchester City,49443,Stadion Rajko Mitić,Beograd,Serbia,55538,Away Win,1903.71,0,3
Newcastle Utd,1–2,Milan,52037,St James' Park,Newcastle,England,52409,Away Win,1305.76,0,3
Porto,5–3,Shakhtar,48113,Estádio do Dragão,Porto,Portugal,54378,Home Win,1958.0,3,0
Celtic,2–1,Feyenoord,56391,Celtic Park,Glasgow,Scotland,60832,Home Win,721.09,3,0
Antwerp,3–2,Barcelona,13550,Bosuilstadion,Antwerp,Belgium,16649,Home Win,1106.77,3,0
Dortmund,1–1,Paris S-G,81365,Signal Iduna Park,Dortmund,Germany,81365,Draw,470.08,1,1
Atlético Madrid,2–0,Lazio,63574,Estadio Cívitas Metropolitano,Madrid,Spain,68456,Home Win,1366.45,3,0
